Dates,Volume,Change,Direction
Wed 25 Apr '07,509.64 M,+0.0093 (+1.72%),UP
Thu 26 Apr '07,500.06 M,+0.0068 (+1.24%),UP
Fri 11 May '07,1.53 B,+0.0387 (+7.07%),UP
Tue 05 Jun '07,698.58 M,+0.0173 (+2.97%),UP
Wed 06 Jun '07,950.87 M,+0.0045 (+0.75%),UP
Thu 14 Jun '07,508.6 M,+0.0110 (+1.78%),UP
Fri 15 Jun '07,1.09 B,+0.0287 (+4.55%),UP
Mon 18 Jun '07,685.69 M,+0.0003 (+0.05%),UP
Thu 21 Jun '07,1.3 B,+0.0520 (+7.83%),UP
Fri 22 Jun '07,884.93 M,+0.0107 (+1.49%),UP
Fri 03 Aug '07,623.41 M,-0.0447 (-5.93%),DOWN
Mon 06 Aug '07,524.72 M,+0.0060 (+0.85%),DOWN
Tue 21 Aug '07,715.56 M,+0.0405 (+5.41%),UP
Wed 22 Aug '07,566.21 M,+0.0180 (+2.28%),UP
Fri 31 Aug '07,720.83 M,+0.0413 (+5.09%),UP
Tue 04 Sep '07,683.29 M,+0.0263 (+3.09%),UP
Wed 26 Sep '07,518.03 M,+0.0212 (+2.37%),UP
Mon 01 Oct '07,398.2 M,+0.0382 (+4.22%),UP
Wed 17 Oct '07,717.84 M,+0.0705 (+7.68%),UP
Thu 18 Oct '07,340.62 M,-0.0008 (-0.08%),UP
Mon 12 Nov '07,715.41 M,-0.0832 (-9.98%),DOWN
Fri 04 Jan '08,736.14 M,-0.0687 (-8.40%),DOWN
Mon 07 Jan '08,1.01 B,-0.0775 (-10.33%),DOWN
Tue 08 Jan '08,1.11 B,+0.0143 (+2.12%),DOWN
Wed 16 Jan '08,1.46 B,-0.0755 (-11.30%),DOWN
Wed 13 Feb '08,742.31 M,+0.0255 (+3.92%),UP
Thu 14 Feb '08,2.18 B,-0.1102 (-16.32%),DOWN
Fri 15 Feb '08,817.36 M,-0.0085 (-1.50%),DOWN
Tue 19 Feb '08,558.88 M,-0.0082 (-1.48%),DOWN
Thu 01 May '08,1.01 B,+0.0237 (+4.62%),UP
Fri 02 May '08,1.13 B,+0.0255 (+4.74%),UP
Thu 15 May '08,1.17 B,+0.0427 (+7.75%),UP
Fri 16 May '08,1.09 B,+0.0157 (+2.65%),UP
Wed 11 Jun '08,999.43 M,-0.0260 (-4.67%),DOWN
Thu 12 Jun '08,825.99 M,+0.0032 (+0.61%),DOWN
Wed 18 Jun '08,1.07 B,-0.0150 (-2.93%),DOWN
Thu 03 Jul '08,2.99 B,-0.1385 (-30.73%),DOWN
Mon 07 Jul '08,2.2 B,-0.0098 (-3.12%),DOWN
Tue 08 Jul '08,1.81 B,-0.0017 (-0.58%),DOWN
Wed 09 Jul '08,1.41 B,-0.0053 (-1.75%),DOWN
Fri 01 Aug '08,881.34 M,-0.0150 (-5.24%),DOWN
Mon 04 Aug '08,522.08 M,-0.0065 (-2.40%),DOWN
Wed 13 Aug '08,2.1 B,+0.0298 (+10.75%),UP
Thu 14 Aug '08,1.64 B,+0.0185 (+6.04%),UP
Fri 15 Aug '08,777.84 M,-0.0010 (-0.31%),UP
Mon 18 Aug '08,894.31 M,+0.0065 (+2.01%),UP
Tue 19 Aug '08,1.01 B,+0.0050 (+1.51%),UP
Wed 20 Aug '08,1.14 B,+0.0165 (+4.92%),UP
Thu 11 Sep '08,1.07 B,-0.0130 (-4.81%),DOWN
Mon 15 Sep '08,864.04 M,-0.0222 (-8.73%),DOWN
Mon 06 Oct '08,1.68 B,-0.0295 (-13.07%),DOWN
Tue 07 Oct '08,1.06 B,-0.0153 (-7.77%),DOWN
Wed 08 Oct '08,1.22 B,+0.0038 (+2.07%),DOWN
Thu 09 Oct '08,909.9 M,-0.0118 (-6.36%),DOWN
Thu 20 Nov '08,847.14 M,-0.0083 (-5.30%),DOWN
Wed 10 Dec '08,961.17 M,+0.0185 (+9.48%),UP
Wed 17 Dec '08,674.58 M,+0.0110 (+4.95%),UP
Thu 05 Feb '09,919.45 M,+0.0160 (+7.34%),UP
Fri 06 Feb '09,1.16 B,+0.0127 (+5.45%),UP
Mon 09 Feb '09,716.17 M,-0.0033 (-1.32%),UP
Wed 11 Mar '09,865.21 M,+0.0063 (+2.76%),UP
Thu 12 Mar '09,1.6 B,+0.0137 (+5.91%),UP
Fri 13 Mar '09,1.2 B,-0.0013 (-0.51%),UP
Fri 03 Apr '09,1 B,+0.0185 (+6.99%),UP
Mon 06 Apr '09,887.49 M,+0.0008 (+0.27%),UP
Thu 09 Apr '09,904.42 M,+0.0157 (+5.52%),UP
Mon 04 May '09,927.79 M,+0.0157 (+5.40%),UP
Fri 08 May '09,2.93 B,-0.0370 (-13.79%),DOWN
Mon 11 May '09,1.04 B,+0.0045 (+1.95%),DOWN
Tue 12 May '09,1.2 B,-0.0112 (-4.77%),DOWN
Wed 13 May '09,1.31 B,-0.0145 (-6.46%),DOWN
Tue 07 Jul '09,1.07 B,-0.0115 (-4.36%),DOWN
Wed 08 Jul '09,1.21 B,+0.0005 (+0.20%),DOWN
Fri 17 Jul '09,850.39 M,+0.0085 (+2.90%),UP
Thu 23 Jul '09,1.05 B,+0.0182 (+5.95%),UP
Fri 21 Aug '09,607.43 M,+0.0057 (+1.68%),UP
Fri 28 Aug '09,883.99 M,+0.0180 (+5.14%),UP
Mon 31 Aug '09,431.79 M,-0.0053 (-1.43%),UP
Fri 04 Sep '09,513.08 M,+0.0135 (+3.71%),UP
Tue 08 Sep '09,549.73 M,+0.0105 (+2.78%),UP
Wed 09 Sep '09,571.7 M,+0.0108 (+2.77%),UP
Thu 10 Sep '09,608 M,+0.0127 (+3.20%),UP
Tue 27 Oct '09,591.84 M,-0.0110 (-3.39%),DOWN
Wed 28 Oct '09,773.73 M,-0.0130 (-4.15%),DOWN
Fri 30 Oct '09,604.14 M,-0.0147 (-4.70%),DOWN
Fri 04 Dec '09,824.57 M,+0.0107 (+3.11%),UP
Mon 07 Dec '09,2.73 B,+0.0458 (+12.83%),UP
Tue 08 Dec '09,1.08 B,-0.0195 (-4.85%),UP
Wed 09 Dec '09,671.71 M,+0.0095 (+2.48%),UP
Wed 16 Dec '09,1.68 B,+0.0315 (+8.05%),UP
Fri 22 Jan '10,1.07 B,-0.0147 (-3.46%),DOWN
Tue 26 Jan '10,714.69 M,-0.0132 (-3.17%),DOWN
Fri 29 Jan '10,774.71 M,-0.0175 (-4.35%),DOWN
Wed 17 Mar '10,651.2 M,+0.0086 (+1.94%),UP
Thu 15 Apr '10,957.77 M,+0.0032 (+0.73%),UP
Wed 21 Apr '10,896.24 M,-0.0110 (-2.58%),DOWN
Tue 27 Apr '10,606.71 M,-0.0118 (-2.83%),DOWN
Fri 30 Apr '10,1.07 B,-0.0235 (-5.65%),DOWN
Mon 03 May '10,1.08 B,-0.0042 (-1.08%),DOWN
Tue 04 May '10,1.31 B,-0.0197 (-5.08%),DOWN
Wed 05 May '10,1.33 B,-0.0063 (-1.69%),DOWN
Thu 06 May '10,1 B,-0.0075 (-2.07%),DOWN
Fri 07 May '10,1.15 B,-0.0060 (-1.69%),DOWN
Fri 14 May '10,2.49 B,-0.0423 (-11.54%),DOWN
Wed 30 Jun '10,623.17 M,-0.0068 (-2.58%),DOWN
Thu 29 Jul '10,2.66 B,-0.0250 (-9.87%),DOWN
Fri 30 Jul '10,984.68 M,+0.0015 (+0.66%),DOWN
Mon 02 Aug '10,917.06 M,-0.0003 (-0.11%),DOWN
Tue 03 Aug '10,955.44 M,-0.0060 (-2.61%),DOWN
Mon 13 Sep '10,1.02 B,+0.0143 (+5.66%),UP
Tue 21 Sep '10,1.78 B,+0.0145 (+5.42%),UP
Wed 22 Sep '10,1 B,+0.0025 (+0.89%),UP
Thu 23 Sep '10,1.24 B,+0.0057 (+2.02%),UP
Fri 24 Sep '10,1.09 B,+0.0160 (+5.51%),UP
Fri 12 Nov '10,2.14 B,+0.0162 (+5.15%),UP
Fri 19 Nov '10,716.61 M,+0.0108 (+3.24%),UP
Mon 22 Nov '10,462.67 M,+0.0002 (+0.06%),UP
Fri 03 Dec '10,606.11 M,+0.0103 (+2.85%),UP
Fri 31 Dec '10,391.3 M,+0.0102 (+2.74%),UP
Mon 03 Jan '11,817.51 M,+0.0105 (+2.73%),UP
Tue 04 Jan '11,651.42 M,-0.0013 (-0.32%),UP
Wed 05 Jan '11,1.43 B,+0.0303 (+7.67%),UP
Thu 06 Jan '11,3.49 B,+0.0588 (+13.84%),UP
Fri 07 Jan '11,2.58 B,+0.0135 (+2.79%),UP
Mon 10 Jan '11,1.75 B,+0.0190 (+3.83%),UP
Tue 11 Jan '11,2.71 B,-0.0080 (-1.56%),UP
Wed 12 Jan '11,3.43 B,+0.0761 (+14.98%),UP
Thu 13 Jan '11,2.7 B,+0.0009 (+0.16%),UP
Wed 02 Mar '11,1.72 B,-0.0225 (-4.16%),DOWN
Thu 10 Mar '11,1.72 B,-0.0305 (-6.37%),DOWN
Fri 29 Apr '11,835.87 M,+0.0123 (+2.51%),UP
Thu 12 May '11,1.22 B,+0.0157 (+3.17%),UP
Fri 17 Jun '11,1.47 B,-0.0096 (-2.38%),DOWN
Tue 12 Jul '11,867.64 M,-0.0050 (-1.34%),DOWN
Wed 13 Jul '11,634.37 M,-0.0008 (-0.20%),DOWN
Thu 14 Jul '11,1.09 B,-0.0145 (-3.96%),DOWN
